Strain,Mutations,Number/ID,Nor Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE7063,0 ng/mL,+,8/30/2022,0:00,H6,0.091
BL21,Δ7,JOE7059,5 ng/mL,-,9/8/2022,0:00,D7,0.092
BL21,Δ7,JOE7059,5 ng/mL,+,9/8/2022,0:00,D2,0.094
BL21,Δ7,JOE7060,5 ng/mL,-,9/8/2022,0:00,D8,0.096
BL21,Δ7,JOE7060,5 ng/mL,+,9/8/2022,0:00,D3,0.093
BL21,Δ7,JOE7061,5 ng/mL,-,9/8/2022,0:00,D9,0.094
BL21,Δ7,JOE7061,5 ng/mL,+,9/8/2022,0:00,D4,0.093
BL21,Δ7,JOE7062,5 ng/mL,-,9/8/2022,0:00,D10,0.094
BL21,Δ7,JOE7062,5 ng/mL,+,9/8/2022,0:00,D5,0.094
BL21,Δ7,JOE7063,5 ng/mL,-,9/8/2022,0:00,D11,0.094
BL21,Δ7,JOE7063,5 ng/mL,+,9/8/2022,0:00,D6,0.092
BL21,Δ7,JOE7059,2.5 ng/mL,-,9/8/2022,0:00,E7,0.091
BL21,Δ7,JOE7059,2.5 ng/mL,+,9/8/2022,0:00,E2,0.094
BL21,Δ7,JOE7060,2.5 ng/mL,-,9/8/2022,0:00,E8,0.093
BL21,Δ7,JOE7060,2.5 ng/mL,+,9/8/2022,0:00,E3,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,-,9/8/2022,0:00,E9,0.093
BL21,Δ7,JOE7061,2.5 ng/mL,+,9/8/2022,0:00,E4,0.094
BL21,Δ7,JOE7062,2.5 ng/mL,-,9/8/2022,0:00,E10,0.093
BL21,Δ7,JOE7062,2.5 ng/mL,+,9/8/2022,0:00,E5,0.094
BL21,Δ7,JOE7063,2.5 ng/mL,-,9/8/2022,0:00,E11,0.093
BL21,Δ7,JOE7063,2.5 ng/mL,+,9/8/2022,0:00,E6,0.093
BL21,Δ7,JOE7059,0 ng/mL,-,9/8/2022,0:00,H7,0.094
BL21,Δ7,JOE7059,0 ng/mL,+,9/8/2022,0:00,H2,0.092
BL21,Δ7,JOE7060,0 ng/mL,-,9/8/2022,0:00,H8,0.094
BL21,Δ7,JOE7060,0 ng/mL,+,9/8/2022,0:00,H3,0.092
BL21,Δ7,JOE7061,0 ng/mL,-,9/8/2022,0:00,H9,0.091
BL21,Δ7,JOE7061,0 ng/mL,+,9/8/2022,0:00,H4,0.091
BL21,Δ7,JOE7062,0 ng/mL,-,9/8/2022,0:00,H10,0.093
BL21,Δ7,JOE7062,0 ng/mL,+,9/8/2022,0:00,H5,0.092
BL21,Δ7,JOE7063,0 ng/mL,-,9/8/2022,0:00,H11,0.093
BL21,Δ7,JOE7063,0 ng/mL,+,9/8/2022,0:00,H6,0.093
BL21,Δ7,JOE7059,5 ng/mL,-,8/30/2022,0:29,D7,0.091
BL21,Δ7,JOE7059,5 ng/mL,+,8/30/2022,0:29,D2,0.095
BL21,Δ7,JOE7060,5 ng/mL,-,8/30/2022,0:29,D8,0.092
BL21,Δ7,JOE7060,5 ng/mL,+,8/30/2022,0:29,D3,0.094
BL21,Δ7,JOE7061,5 ng/mL,-,8/30/2022,0:29,D9,0.093
BL21,Δ7,JOE7061,5 ng/mL,+,8/30/2022,0:29,D4,0.095
BL21,Δ7,JOE7062,5 ng/mL,-,8/30/2022,0:29,D10,0.092
BL21,Δ7,JOE7062,5 ng/mL,+,8/30/2022,0:29,D5,0.094
BL21,Δ7,JOE7063,5 ng/mL,-,8/30/2022,0:29,D11,0.091
BL21,Δ7,JOE7063,5 ng/mL,+,8/30/2022,0:29,D6,0.09
BL21,Δ7,JOE7059,2.5 ng/mL,-,8/30/2022,0:29,E7,0.092
BL21,Δ7,JOE7059,2.5 ng/mL,+,8/30/2022,0:29,E2,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,8/30/2022,0:29,E8,0.091
BL21,Δ7,JOE7060,2.5 ng/mL,+,8/30/2022,0:29,E3,0.093
BL21,Δ7,JOE7061,2.5 ng/mL,-,8/30/2022,0:29,E9,0.093
BL21,Δ7,JOE7061,2.5 ng/mL,+,8/30/2022,0:29,E4,0.091
BL21,Δ7,JOE7062,2.5 ng/mL,-,8/30/2022,0:29,E10,0.092
BL21,Δ7,JOE7062,2.5 ng/mL,+,8/30/2022,0:29,E5,0.094
BL21,Δ7,JOE7063,2.5 ng/mL,-,8/30/2022,0:29,E11,0.092
BL21,Δ7,JOE7063,2.5 ng/mL,+,8/30/2022,0:29,E6,0.09
BL21,Δ7,JOE7059,0 ng/mL,-,8/30/2022,0:29,H7,0.093
BL21,Δ7,JOE7059,0 ng/mL,+,8/30/2022,0:29,H2,0.091
BL21,Δ7,JOE7060,0 ng/mL,-,8/30/2022,0:29,H8,0.094
BL21,Δ7,JOE7060,0 ng/mL,+,8/30/2022,0:29,H3,0.092
BL21,Δ7,JOE7061,0 ng/mL,-,8/30/2022,0:29,H9,0.09
BL21,Δ7,JOE7061,0 ng/mL,+,8/30/2022,0:29,H4,0.091
BL21,Δ7,JOE7062,0 ng/mL,-,8/30/2022,0:29,H10,0.091
BL21,Δ7,JOE7062,0 ng/mL,+,8/30/2022,0:29,H5,0.091
BL21,Δ7,JOE7063,0 ng/mL,-,8/30/2022,0:29,H11,0.091
BL21,Δ7,JOE7063,0 ng/mL,+,8/30/2022,0:29,H6,0.092
BL21,Δ7,JOE7059,5 ng/mL,-,9/8/2022,0:29,D7,0.092
BL21,Δ7,JOE7059,5 ng/mL,+,9/8/2022,0:29,D2,0.095
BL21,Δ7,JOE7060,5 ng/mL,-,9/8/2022,0:29,D8,0.091
BL21,Δ7,JOE7060,5 ng/mL,+,9/8/2022,0:29,D3,0.093
BL21,Δ7,JOE7061,5 ng/mL,-,9/8/2022,0:29,D9,0.093
BL21,Δ7,JOE7061,5 ng/mL,+,9/8/2022,0:29,D4,0.094
BL21,Δ7,JOE7062,5 ng/mL,-,9/8/2022,0:29,D10,0.095
BL21,Δ7,JOE7062,5 ng/mL,+,9/8/2022,0:29,D5,0.094
BL21,Δ7,JOE7063,5 ng/mL,-,9/8/2022,0:29,D11,0.095
BL21,Δ7,JOE7063,5 ng/mL,+,9/8/2022,0:29,D6,0.092
BL21,Δ7,JOE7059,2.5 ng/mL,-,9/8/2022,0:29,E7,0.091
BL21,Δ7,JOE7059,2.5 ng/mL,+,9/8/2022,0:29,E2,0.094
BL21,Δ7,JOE7060,2.5 ng/mL,-,9/8/2022,0:29,E8,0.093
BL21,Δ7,JOE7060,2.5 ng/mL,+,9/8/2022,0:29,E3,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,-,9/8/2022,0:29,E9,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,+,9/8/2022,0:29,E4,0.095
BL21,Δ7,JOE7062,2.5 ng/mL,-,9/8/2022,0:29,E10,0.094
BL21,Δ7,JOE7062,2.5 ng/mL,+,9/8/2022,0:29,E5,0.095
BL21,Δ7,JOE7063,2.5 ng/mL,-,9/8/2022,0:29,E11,0.094
BL21,Δ7,JOE7063,2.5 ng/mL,+,9/8/2022,0:29,E6,0.093
BL21,Δ7,JOE7059,0 ng/mL,-,9/8/2022,0:29,H7,0.094
BL21,Δ7,JOE7059,0 ng/mL,+,9/8/2022,0:29,H2,0.092
BL21,Δ7,JOE7060,0 ng/mL,-,9/8/2022,0:29,H8,0.094
BL21,Δ7,JOE7060,0 ng/mL,+,9/8/2022,0:29,H3,0.094
BL21,Δ7,JOE7061,0 ng/mL,-,9/8/2022,0:29,H9,0.092
BL21,Δ7,JOE7061,0 ng/mL,+,9/8/2022,0:29,H4,0.092
BL21,Δ7,JOE7062,0 ng/mL,-,9/8/2022,0:29,H10,0.094
BL21,Δ7,JOE7062,0 ng/mL,+,9/8/2022,0:29,H5,0.093
BL21,Δ7,JOE7063,0 ng/mL,-,9/8/2022,0:29,H11,0.093
BL21,Δ7,JOE7063,0 ng/mL,+,9/8/2022,0:29,H6,0.093
BL21,Δ7,JOE7059,5 ng/mL,-,8/30/2022,0:59,D7,0.092
BL21,Δ7,JOE7059,5 ng/mL,+,8/30/2022,0:59,D2,0.096
BL21,Δ7,JOE7060,5 ng/mL,-,8/30/2022,0:59,D8,0.093
BL21,Δ7,JOE7060,5 ng/mL,+,8/30/2022,0:59,D3,0.094
BL21,Δ7,JOE7061,5 ng/mL,-,8/30/2022,0:59,D9,0.093
BL21,Δ7,JOE7061,5 ng/mL,+,8/30/2022,0:59,D4,0.097
BL21,Δ7,JOE7062,5 ng/mL,-,8/30/2022,0:59,D10,0.092
BL21,Δ7,JOE7062,5 ng/mL,+,8/30/2022,0:59,D5,0.095
BL21,Δ7,JOE7063,5 ng/mL,-,8/30/2022,0:59,D11,0.092
BL21,Δ7,JOE7063,5 ng/mL,+,8/30/2022,0:59,D6,0.09
BL21,Δ7,JOE7059,2.5 ng/mL,-,8/30/2022,0:59,E7,0.093
BL21,Δ7,JOE7059,2.5 ng/mL,+,8/30/2022,0:59,E2,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,8/30/2022,0:59,E8,0.092
BL21,Δ7,JOE7060,2.5 ng/mL,+,8/30/2022,0:59,E3,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,-,8/30/2022,0:59,E9,0.093
BL21,Δ7,JOE7061,2.5 ng/mL,+,8/30/2022,0:59,E4,0.092
BL21,Δ7,JOE7062,2.5 ng/mL,-,8/30/2022,0:59,E10,0.093
BL21,Δ7,JOE7062,2.5 ng/mL,+,8/30/2022,0:59,E5,0.095
BL21,Δ7,JOE7063,2.5 ng/mL,-,8/30/2022,0:59,E11,0.092
BL21,Δ7,JOE7063,2.5 ng/mL,+,8/30/2022,0:59,E6,0.091
BL21,Δ7,JOE7059,0 ng/mL,-,8/30/2022,0:59,H7,0.093
BL21,Δ7,JOE7059,0 ng/mL,+,8/30/2022,0:59,H2,0.092
BL21,Δ7,JOE7060,0 ng/mL,-,8/30/2022,0:59,H8,0.094
BL21,Δ7,JOE7060,0 ng/mL,+,8/30/2022,0:59,H3,0.092
BL21,Δ7,JOE7061,0 ng/mL,-,8/30/2022,0:59,H9,0.091
BL21,Δ7,JOE7061,0 ng/mL,+,8/30/2022,0:59,H4,0.092
BL21,Δ7,JOE7062,0 ng/mL,-,8/30/2022,0:59,H10,0.092
BL21,Δ7,JOE7062,0 ng/mL,+,8/30/2022,0:59,H5,0.091
BL21,Δ7,JOE7063,0 ng/mL,-,8/30/2022,0:59,H11,0.091
BL21,Δ7,JOE7063,0 ng/mL,+,8/30/2022,0:59,H6,0.092
BL21,Δ7,JOE7059,5 ng/mL,-,9/8/2022,0:59,D7,0.092
BL21,Δ7,JOE7059,5 ng/mL,+,9/8/2022,0:59,D2,0.095
BL21,Δ7,JOE7060,5 ng/mL,-,9/8/2022,0:59,D8,0.092
BL21,Δ7,JOE7060,5 ng/mL,+,9/8/2022,0:59,D3,0.096
BL21,Δ7,JOE7061,5 ng/mL,-,9/8/2022,0:59,D9,0.094
BL21,Δ7,JOE7061,5 ng/mL,+,9/8/2022,0:59,D4,0.094
BL21,Δ7,JOE7062,5 ng/mL,-,9/8/2022,0:59,D10,0.095
BL21,Δ7,JOE7062,5 ng/mL,+,9/8/2022,0:59,D5,0.095
BL21,Δ7,JOE7063,5 ng/mL,-,9/8/2022,0:59,D11,0.095
BL21,Δ7,JOE7063,5 ng/mL,+,9/8/2022,0:59,D6,0.093
BL21,Δ7,JOE7059,2.5 ng/mL,-,9/8/2022,0:59,E7,0.091
BL21,Δ7,JOE7059,2.5 ng/mL,+,9/8/2022,0:59,E2,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,9/8/2022,0:59,E8,0.093
BL21,Δ7,JOE7060,2.5 ng/mL,+,9/8/2022,0:59,E3,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,-,9/8/2022,0:59,E9,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,+,9/8/2022,0:59,E4,0.095
BL21,Δ7,JOE7062,2.5 ng/mL,-,9/8/2022,0:59,E10,0.094
BL21,Δ7,JOE7062,2.5 ng/mL,+,9/8/2022,0:59,E5,0.096
BL21,Δ7,JOE7063,2.5 ng/mL,-,9/8/2022,0:59,E11,0.094
BL21,Δ7,JOE7063,2.5 ng/mL,+,9/8/2022,0:59,E6,0.093
BL21,Δ7,JOE7059,0 ng/mL,-,9/8/2022,0:59,H7,0.094
BL21,Δ7,JOE7059,0 ng/mL,+,9/8/2022,0:59,H2,0.092
BL21,Δ7,JOE7060,0 ng/mL,-,9/8/2022,0:59,H8,0.094
BL21,Δ7,JOE7060,0 ng/mL,+,9/8/2022,0:59,H3,0.093
BL21,Δ7,JOE7061,0 ng/mL,-,9/8/2022,0:59,H9,0.092
BL21,Δ7,JOE7061,0 ng/mL,+,9/8/2022,0:59,H4,0.093
BL21,Δ7,JOE7062,0 ng/mL,-,9/8/2022,0:59,H10,0.094
BL21,Δ7,JOE7062,0 ng/mL,+,9/8/2022,0:59,H5,0.093
BL21,Δ7,JOE7063,0 ng/mL,-,9/8/2022,0:59,H11,0.094
BL21,Δ7,JOE7063,0 ng/mL,+,9/8/2022,0:59,H6,0.094
BL21,Δ7,JOE7059,5 ng/mL,-,8/30/2022,1:29,D7,0.093
BL21,Δ7,JOE7059,5 ng/mL,+,8/30/2022,1:29,D2,0.096
BL21,Δ7,JOE7060,5 ng/mL,-,8/30/2022,1:29,D8,0.093
BL21,Δ7,JOE7060,5 ng/mL,+,8/30/2022,1:29,D3,0.095
BL21,Δ7,JOE7061,5 ng/mL,-,8/30/2022,1:29,D9,0.094
BL21,Δ7,JOE7061,5 ng/mL,+,8/30/2022,1:29,D4,0.096
BL21,Δ7,JOE7062,5 ng/mL,-,8/30/2022,1:29,D10,0.093
BL21,Δ7,JOE7062,5 ng/mL,+,8/30/2022,1:29,D5,0.095
BL21,Δ7,JOE7063,5 ng/mL,-,8/30/2022,1:29,D11,0.092
BL21,Δ7,JOE7063,5 ng/mL,+,8/30/2022,1:29,D6,0.091
BL21,Δ7,JOE7059,2.5 ng/mL,-,8/30/2022,1:29,E7,0.094
BL21,Δ7,JOE7059,2.5 ng/mL,+,8/30/2022,1:29,E2,0.096
BL21,Δ7,JOE7060,2.5 ng/mL,-,8/30/2022,1:29,E8,0.092
BL21,Δ7,JOE7060,2.5 ng/mL,+,8/30/2022,1:29,E3,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,-,8/30/2022,1:29,E9,0.094
BL21,Δ7,JOE7061,2.5 ng/mL,+,8/30/2022,1:29,E4,0.092
BL21,Δ7,JOE7062,2.5 ng/mL,-,8/30/2022,1:29,E10,0.094
BL21,Δ7,JOE7062,2.5 ng/mL,+,8/30/2022,1:29,E5,0.096
BL21,Δ7,JOE7063,2.5 ng/mL,-,8/30/2022,1:29,E11,0.093
BL21,Δ7,JOE7063,2.5 ng/mL,+,8/30/2022,1:29,E6,0.092
BL21,Δ7,JOE7059,0 ng/mL,-,8/30/2022,1:29,H7,0.094
BL21,Δ7,JOE7059,0 ng/mL,+,8/30/2022,1:29,H2,0.092
BL21,Δ7,JOE7060,0 ng/mL,-,8/30/2022,1:29,H8,0.094
BL21,Δ7,JOE7060,0 ng/mL,+,8/30/2022,1:29,H3,0.093
BL21,Δ7,JOE7061,0 ng/mL,-,8/30/2022,1:29,H9,0.092
BL21,Δ7,JOE7061,0 ng/mL,+,8/30/2022,1:29,H4,0.092
BL21,Δ7,JOE7062,0 ng/mL,-,8/30/2022,1:29,H10,0.093
BL21,Δ7,JOE7062,0 ng/mL,+,8/30/2022,1:29,H5,0.092
BL21,Δ7,JOE7063,0 ng/mL,-,8/30/2022,1:29,H11,0.092
BL21,Δ7,JOE7063,0 ng/mL,+,8/30/2022,1:29,H6,0.093
BL21,Δ7,JOE7059,5 ng/mL,-,9/8/2022,1:29,D7,0.092
BL21,Δ7,JOE7059,5 ng/mL,+,9/8/2022,1:29,D2,0.096
BL21,Δ7,JOE7060,5 ng/mL,-,9/8/2022,1:29,D8,0.092
BL21,Δ7,JOE7060,5 ng/mL,+,9/8/2022,1:29,D3,0.097
BL21,Δ7,JOE7061,5 ng/mL,-,9/8/2022,1:29,D9,0.095
BL21,Δ7,JOE7061,5 ng/mL,+,9/8/2022,1:29,D4,0.095
BL21,Δ7,JOE7062,5 ng/mL,-,9/8/2022,1:29,D10,0.096
BL21,Δ7,JOE7062,5 ng/mL,+,9/8/2022,1:29,D5,0.096
BL21,Δ7,JOE7063,5 ng/mL,-,9/8/2022,1:29,D11,0.096
BL21,Δ7,JOE7063,5 ng/mL,+,9/8/2022,1:29,D6,0.094
BL21,Δ7,JOE7059,2.5 ng/mL,-,9/8/2022,1:29,E7,0.092
BL21,Δ7,JOE7059,2.5 ng/mL,+,9/8/2022,1:29,E2,0.096
BL21,Δ7,JOE7060,2.5 ng/mL,-,9/8/2022,1:29,E8,0.094
BL21,Δ7,JOE7060,2.5 ng/mL,+,9/8/2022,1:29,E3,0.095
BL21,Δ7,JOE7061,2.5 ng/mL,-,9/8/2022,1:29,E9,0.095
BL21,Δ7,JOE7061,2.5 ng/mL,+,9/8/2022,1:29,E4,0.096
BL21,Δ7,JOE7062,2.5 ng/mL,-,9/8/2022,1:29,E10,0.096
BL21,Δ7,JOE7062,2.5 ng/mL,+,9/8/2022,1:29,E5,0.097
BL21,Δ7,JOE7063,2.5 ng/mL,-,9/8/2022,1:29,E11,0.095
BL21,Δ7,JOE7063,2.5 ng/mL,+,9/8/2022,1:29,E6,0.095
BL21,Δ7,JOE7059,0 ng/mL,-,9/8/2022,1:29,H7,0.095
BL21,Δ7,JOE7059,0 ng/mL,+,9/8/2022,1:29,H2,0.093
BL21,Δ7,JOE7060,0 ng/mL,-,9/8/2022,1:29,H8,0.095
BL21,Δ7,JOE7060,0 ng/mL,+,9/8/2022,1:29,H3,0.094
BL21,Δ7,JOE7061,0 ng/mL,-,9/8/2022,1:29,H9,0.097
BL21,Δ7,JOE7061,0 ng/mL,+,9/8/2022,1:29,H4,0.093
BL21,Δ7,JOE7062,0 ng/mL,-,9/8/2022,1:29,H10,0.095
BL21,Δ7,JOE7062,0 ng/mL,+,9/8/2022,1:29,H5,0.094
BL21,Δ7,JOE7063,0 ng/mL,-,9/8/2022,1:29,H11,0.095
BL21,Δ7,JOE7063,0 ng/mL,+,9/8/2022,1:29,H6,0.095
BL21,Δ7,JOE7059,5 ng/mL,-,8/30/2022,1:59,D7,0.094
BL21,Δ7,JOE7059,5 ng/mL,+,8/30/2022,1:59,D2,0.097
BL21,Δ7,JOE7060,5 ng/mL,-,8/30/2022,1:59,D8,0.094
BL21,Δ7,JOE7060,5 ng/mL,+,8/30/2022,1:59,D3,0.096
BL21,Δ7,JOE7061,5 ng/mL,-,8/30/2022,1:59,D9,0.095
BL21,Δ7,JOE7061,5 ng/mL,+,8/30/2022,1:59,D4,0.097
BL21,Δ7,JOE7062,5 ng/mL,-,8/30/2022,1:59,D10,0.094
BL21,Δ7,JOE7062,5 ng/mL,+,8/30/2022,1:59,D5,0.097
BL21,Δ7,JOE7063,5 ng/mL,-,8/30/2022,1:59,D11,0.094
BL21,Δ7,JOE7063,5 ng/mL,+,8/30/2022,1:59,D6,0.093
BL21,Δ7,JOE7059,2.5 ng/mL,-,8/30/2022,1:59,E7,0.095
BL21,Δ7,JOE7059,2.5 ng/mL,+,8/30/2022,1:59,E2,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,-,8/30/2022,1:59,E8,0.093
BL21,Δ7,JOE7060,2.5 ng/mL,+,8/30/2022,1:59,E3,0.095
BL21,Δ7,JOE7061,2.5 ng/mL,-,8/30/2022,1:59,E9,0.095
BL21,Δ7,JOE7061,2.5 ng/mL,+,8/30/2022,1:59,E4,0.094
BL21,Δ7,JOE7062,2.5 ng/mL,-,8/30/2022,1:59,E10,0.095
BL21,Δ7,JOE7062,2.5 ng/mL,+,8/30/2022,1:59,E5,0.097
BL21,Δ7,JOE7063,2.5 ng/mL,-,8/30/2022,1:59,E11,0.095
BL21,Δ7,JOE7063,2.5 ng/mL,+,8/30/2022,1:59,E6,0.093
BL21,Δ7,JOE7059,0 ng/mL,-,8/30/2022,1:59,H7,0.095
BL21,Δ7,JOE7059,0 ng/mL,+,8/30/2022,1:59,H2,0.094
BL21,Δ7,JOE7060,0 ng/mL,-,8/30/2022,1:59,H8,0.095
BL21,Δ7,JOE7060,0 ng/mL,+,8/30/2022,1:59,H3,0.094
BL21,Δ7,JOE7061,0 ng/mL,-,8/30/2022,1:59,H9,0.093
BL21,Δ7,JOE7061,0 ng/mL,+,8/30/2022,1:59,H4,0.093
BL21,Δ7,JOE7062,0 ng/mL,-,8/30/2022,1:59,H10,0.094
BL21,Δ7,JOE7062,0 ng/mL,+,8/30/2022,1:59,H5,0.093
BL21,Δ7,JOE7063,0 ng/mL,-,8/30/2022,1:59,H11,0.094
BL21,Δ7,JOE7063,0 ng/mL,+,8/30/2022,1:59,H6,0.095
BL21,Δ7,JOE7059,5 ng/mL,-,9/8/2022,1:59,D7,0.093
BL21,Δ7,JOE7059,5 ng/mL,+,9/8/2022,1:59,D2,0.097
BL21,Δ7,JOE7060,5 ng/mL,-,9/8/2022,1:59,D8,0.093
BL21,Δ7,JOE7060,5 ng/mL,+,9/8/2022,1:59,D3,0.095
BL21,Δ7,JOE7061,5 ng/mL,-,9/8/2022,1:59,D9,0.096
BL21,Δ7,JOE7061,5 ng/mL,+,9/8/2022,1:59,D4,0.096
BL21,Δ7,JOE7062,5 ng/mL,-,9/8/2022,1:59,D10,0.098
BL21,Δ7,JOE7062,5 ng/mL,+,9/8/2022,1:59,D5,0.098
BL21,Δ7,JOE7063,5 ng/mL,-,9/8/2022,1:59,D11,0.098
BL21,Δ7,JOE7063,5 ng/mL,+,9/8/2022,1:59,D6,0.095
BL21,Δ7,JOE7059,2.5 ng/mL,-,9/8/2022,1:59,E7,0.092
BL21,Δ7,JOE7059,2.5 ng/mL,+,9/8/2022,1:59,E2,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,-,9/8/2022,1:59,E8,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,+,9/8/2022,1:59,E3,0.096
BL21,Δ7,JOE7061,2.5 ng/mL,-,9/8/2022,1:59,E9,0.096
BL21,Δ7,JOE7061,2.5 ng/mL,+,9/8/2022,1:59,E4,0.097
BL21,Δ7,JOE7062,2.5 ng/mL,-,9/8/2022,1:59,E10,0.097
BL21,Δ7,JOE7062,2.5 ng/mL,+,9/8/2022,1:59,E5,0.098
BL21,Δ7,JOE7063,2.5 ng/mL,-,9/8/2022,1:59,E11,0.097
BL21,Δ7,JOE7063,2.5 ng/mL,+,9/8/2022,1:59,E6,0.096
BL21,Δ7,JOE7059,0 ng/mL,-,9/8/2022,1:59,H7,0.096
BL21,Δ7,JOE7059,0 ng/mL,+,9/8/2022,1:59,H2,0.094
BL21,Δ7,JOE7060,0 ng/mL,-,9/8/2022,1:59,H8,0.095
BL21,Δ7,JOE7060,0 ng/mL,+,9/8/2022,1:59,H3,0.095
BL21,Δ7,JOE7061,0 ng/mL,-,9/8/2022,1:59,H9,0.094
BL21,Δ7,JOE7061,0 ng/mL,+,9/8/2022,1:59,H4,0.094
BL21,Δ7,JOE7062,0 ng/mL,-,9/8/2022,1:59,H10,0.097
BL21,Δ7,JOE7062,0 ng/mL,+,9/8/2022,1:59,H5,0.096
BL21,Δ7,JOE7063,0 ng/mL,-,9/8/2022,1:59,H11,0.096
BL21,Δ7,JOE7063,0 ng/mL,+,9/8/2022,1:59,H6,0.096
BL21,Δ7,JOE7059,5 ng/mL,-,8/30/2022,2:29,D7,0.097
BL21,Δ7,JOE7059,5 ng/mL,+,8/30/2022,2:29,D2,0.099
BL21,Δ7,JOE7060,5 ng/mL,-,8/30/2022,2:29,D8,0.096
BL21,Δ7,JOE7060,5 ng/mL,+,8/30/2022,2:29,D3,0.098
BL21,Δ7,JOE7061,5 ng/mL,-,8/30/2022,2:29,D9,0.097
BL21,Δ7,JOE7061,5 ng/mL,+,8/30/2022,2:29,D4,0.099
BL21,Δ7,JOE7062,5 ng/mL,-,8/30/2022,2:29,D10,0.096
BL21,Δ7,JOE7062,5 ng/mL,+,8/30/2022,2:29,D5,0.099
BL21,Δ7,JOE7063,5 ng/mL,-,8/30/2022,2:29,D11,0.097
BL21,Δ7,JOE7063,5 ng/mL,+,8/30/2022,2:29,D6,0.096
BL21,Δ7,JOE7059,2.5 ng/mL,-,8/30/2022,2:29,E7,0.098
BL21,Δ7,JOE7059,2.5 ng/mL,+,8/30/2022,2:29,E2,0.099
BL21,Δ7,JOE7060,2.5 ng/mL,-,8/30/2022,2:29,E8,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,+,8/30/2022,2:29,E3,0.097
BL21,Δ7,JOE7061,2.5 ng/mL,-,8/30/2022,2:29,E9,0.098
BL21,Δ7,JOE7061,2.5 ng/mL,+,8/30/2022,2:29,E4,0.096
BL21,Δ7,JOE7062,2.5 ng/mL,-,8/30/2022,2:29,E10,0.097
BL21,Δ7,JOE7062,2.5 ng/mL,+,8/30/2022,2:29,E5,0.099
