Strain,Mutations,Number/ID,Nor Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/19/2022,0:00,E9,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/19/2022,0:00,E5,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/19/2022,0:00,E10,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/19/2022,0:00,E6,0.091
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/19/2022,0:00,E11,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/19/2022,0:00,H2,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/19/2022,0:00,H7,0.091
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/19/2022,0:00,H3,0.09
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/19/2022,0:00,H8,0.102
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/19/2022,0:00,H4,0.09
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/19/2022,0:00,H9,0.091
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/19/2022,0:00,H5,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/19/2022,0:00,H10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/19/2022,0:00,H6,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/19/2022,0:00,H11,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/9/2022,0:29,D7,0.099
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/9/2022,0:29,D2,0.1
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/9/2022,0:29,D8,0.099
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/9/2022,0:29,D3,0.098
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/9/2022,0:29,D9,0.105
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/9/2022,0:29,D4,0.1
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/9/2022,0:29,D10,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/9/2022,0:29,D5,0.099
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/9/2022,0:29,D10,0.096
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/9/2022,0:29,D6,0.098
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/9/2022,0:29,E7,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/9/2022,0:29,E2,0.098
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/9/2022,0:29,E8,0.1
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/9/2022,0:29,E3,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/9/2022,0:29,E9,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/9/2022,0:29,E4,0.099
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/9/2022,0:29,E10,0.099
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/9/2022,0:29,E5,0.096
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/9/2022,0:29,E11,0.1
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/9/2022,0:29,E6,0.1
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/9/2022,0:29,H7,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/9/2022,0:29,H2,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/9/2022,0:29,H8,0.099
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/9/2022,0:29,H3,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/9/2022,0:29,H9,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/9/2022,0:29,H4,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/9/2022,0:29,H10,0.098
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/9/2022,0:29,H5,0.098
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/9/2022,0:29,H11,0.098
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/9/2022,0:29,H6,0.099
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/11/2022,0:29,E11,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/11/2022,0:29,E6,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/11/2022,0:29,E10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/11/2022,0:29,E5,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/11/2022,0:29,E9,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/11/2022,0:29,E4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/11/2022,0:29,E8,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/11/2022,0:29,E3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/11/2022,0:29,E8,0.094
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/11/2022,0:29,E2,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/11/2022,0:29,D11,0.096
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/11/2022,0:29,D6,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/11/2022,0:29,D10,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/11/2022,0:29,D5,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/11/2022,0:29,D9,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/11/2022,0:29,D4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/11/2022,0:29,D8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/11/2022,0:29,D3,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/11/2022,0:29,D7,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/11/2022,0:29,D2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/11/2022,0:29,A11,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/11/2022,0:29,A6,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/11/2022,0:29,A10,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/11/2022,0:29,A5,0.092
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/11/2022,0:29,A9,0.095
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/11/2022,0:29,A4,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/11/2022,0:29,A8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/11/2022,0:29,A3,0.092
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/11/2022,0:29,A7,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/11/2022,0:29,A2,0.092
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/19/2022,0:29,D2,0.095
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/19/2022,0:29,D7,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/19/2022,0:29,D3,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/19/2022,0:29,D8,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/19/2022,0:29,D4,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/19/2022,0:29,D9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/19/2022,0:29,D5,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/19/2022,0:29,D10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/19/2022,0:29,D5,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/19/2022,0:29,D11,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/19/2022,0:29,E2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/19/2022,0:29,E7,0.094
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/19/2022,0:29,E3,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/19/2022,0:29,E8,0.093
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/19/2022,0:29,E4,0.098
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/19/2022,0:29,E9,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/19/2022,0:29,E5,0.093
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/19/2022,0:29,E10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/19/2022,0:29,E6,0.093
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/19/2022,0:29,E11,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/19/2022,0:29,H2,0.093
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/19/2022,0:29,H7,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/19/2022,0:29,H3,0.092
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/19/2022,0:29,H8,0.105
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/19/2022,0:29,H4,0.091
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/19/2022,0:29,H9,0.092
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/19/2022,0:29,H5,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/19/2022,0:29,H10,0.096
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/19/2022,0:29,H6,0.095
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/19/2022,0:29,H11,0.099
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/9/2022,0:59,D7,0.102
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/9/2022,0:59,D2,0.103
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/9/2022,0:59,D8,0.104
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/9/2022,0:59,D3,0.1
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/9/2022,0:59,D9,0.107
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/9/2022,0:59,D4,0.103
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/9/2022,0:59,D10,0.099
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/9/2022,0:59,D5,0.102
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/9/2022,0:59,D10,0.099
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/9/2022,0:59,D6,0.102
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/9/2022,0:59,E7,0.101
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/9/2022,0:59,E2,0.102
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/9/2022,0:59,E8,0.105
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/9/2022,0:59,E3,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/9/2022,0:59,E9,0.097
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/9/2022,0:59,E4,0.103
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/9/2022,0:59,E10,0.103
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/9/2022,0:59,E5,0.099
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/9/2022,0:59,E11,0.104
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/9/2022,0:59,E6,0.101
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/9/2022,0:59,H7,0.1
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/9/2022,0:59,H2,0.099
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/9/2022,0:59,H8,0.103
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/9/2022,0:59,H3,0.1
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/9/2022,0:59,H9,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/9/2022,0:59,H4,0.1
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/9/2022,0:59,H10,0.102
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/9/2022,0:59,H5,0.101
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/9/2022,0:59,H11,0.102
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/9/2022,0:59,H6,0.103
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/11/2022,0:59,E11,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/11/2022,0:59,E6,0.099
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/11/2022,0:59,E10,0.098
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/11/2022,0:59,E5,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/11/2022,0:59,E9,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/11/2022,0:59,E4,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/11/2022,0:59,E8,0.097
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/11/2022,0:59,E3,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/11/2022,0:59,E8,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/11/2022,0:59,E2,0.095
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/11/2022,0:59,D11,0.099
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/11/2022,0:59,D6,0.096
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/11/2022,0:59,D10,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/11/2022,0:59,D5,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/11/2022,0:59,D9,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/11/2022,0:59,D4,0.097
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/11/2022,0:59,D8,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,+,8/11/2022,0:59,D3,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,-,8/11/2022,0:59,D7,0.096
BW25113,ΔmdtK ΔacrAB,JOE7057,10 ng/mL,+,8/11/2022,0:59,D2,0.096
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,-,8/11/2022,0:59,A11,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,0 ng/mL,+,8/11/2022,0:59,A6,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,-,8/11/2022,0:59,A10,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,0 ng/mL,+,8/11/2022,0:59,A5,0.094
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,-,8/11/2022,0:59,A9,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,0 ng/mL,+,8/11/2022,0:59,A4,0.094
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,-,8/11/2022,0:59,A8,0.095
BW25113,ΔmdtK ΔacrAB,JOE7056,0 ng/mL,+,8/11/2022,0:59,A3,0.094
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,-,8/11/2022,0:59,A7,0.099
BW25113,ΔmdtK ΔacrAB,JOE7057,0 ng/mL,+,8/11/2022,0:59,A2,0.094
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,-,8/19/2022,0:59,D2,0.098
BW25113,ΔmdtK ΔacrAB,JOE7053,20 ng/mL,+,8/19/2022,0:59,D7,0.095
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,-,8/19/2022,0:59,D3,0.1
BW25113,ΔmdtK ΔacrAB,JOE7054,20 ng/mL,+,8/19/2022,0:59,D8,0.096
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,-,8/19/2022,0:59,D4,0.101
BW25113,ΔmdtK ΔacrAB,JOE7055,20 ng/mL,+,8/19/2022,0:59,D9,0.096
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,-,8/19/2022,0:59,D5,0.097
BW25113,ΔmdtK ΔacrAB,JOE7056,20 ng/mL,+,8/19/2022,0:59,D10,0.098
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,-,8/19/2022,0:59,D5,0.097
BW25113,ΔmdtK ΔacrAB,JOE7057,20 ng/mL,+,8/19/2022,0:59,D11,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,-,8/19/2022,0:59,E2,0.097
BW25113,ΔmdtK ΔacrAB,JOE7053,10 ng/mL,+,8/19/2022,0:59,E7,0.097
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,-,8/19/2022,0:59,E3,0.1
BW25113,ΔmdtK ΔacrAB,JOE7054,10 ng/mL,+,8/19/2022,0:59,E8,0.1
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,-,8/19/2022,0:59,E4,0.099
BW25113,ΔmdtK ΔacrAB,JOE7055,10 ng/mL,+,8/19/2022,0:59,E9,0.097
BW25113,ΔmdtK ΔacrAB,JOE7056,10 ng/mL,-,8/19/2022,0:59,E5,0.096
