Strain,Mutations,Number/ID,Nor Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE7061,0 ng/mL,+,4/11/2023,0:00,H3,0.096
BL21,Δ7,JOE7199,0 ng/mL,-,4/11/2023,0:00,H9,0.096
BL21,Δ7,JOE7199,0 ng/mL,+,4/11/2023,0:00,H4,0.101
BL21,Δ7,JOE7200,0 ng/mL,-,4/11/2023,0:00,H10,0.098
BL21,Δ7,JOE7200,0 ng/mL,+,4/11/2023,0:00,H5,0.097
BL21,Δ7,JOE7201,0 ng/mL,-,4/11/2023,0:00,H11,0.1
BL21,Δ7,JOE7201,0 ng/mL,+,4/11/2023,0:00,H6,0.099
BL21,Δ7,JOE7060,5 ng/mL,-,4/13/2023,0:00,C7,0.096
BL21,Δ7,JOE7060,5 ng/mL,+,4/13/2023,0:00,C2,0.097
BL21,Δ7,JOE7061,5 ng/mL,-,4/13/2023,0:00,C8,0.095
BL21,Δ7,JOE7061,5 ng/mL,+,4/13/2023,0:00,C3,0.097
BL21,Δ7,JOE7199,5 ng/mL,-,4/13/2023,0:00,C9,0.094
BL21,Δ7,JOE7199,5 ng/mL,+,4/13/2023,0:00,C4,0.095
BL21,Δ7,JOE7200,5 ng/mL,-,4/13/2023,0:00,C10,0.097
BL21,Δ7,JOE7200,5 ng/mL,+,4/13/2023,0:00,C5,0.096
BL21,Δ7,JOE7201,5 ng/mL,-,4/13/2023,0:00,C11,0.095
BL21,Δ7,JOE7201,5 ng/mL,+,4/13/2023,0:00,C6,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/13/2023,0:00,D7,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/13/2023,0:00,D2,0.097
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/13/2023,0:00,D8,0.096
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/13/2023,0:00,D3,0.097
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/13/2023,0:00,D9,0.096
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/13/2023,0:00,D4,0.097
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/13/2023,0:00,D10,0.097
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/13/2023,0:00,D5,0.098
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/13/2023,0:00,D11,0.095
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/13/2023,0:00,D6,0.094
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/13/2023,0:00,E7,0.095
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/13/2023,0:00,E2,0.097
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/13/2023,0:00,E8,0.097
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/13/2023,0:00,E3,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/13/2023,0:00,E9,0.096
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/13/2023,0:00,E4,0.096
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/13/2023,0:00,E10,0.098
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/13/2023,0:00,E5,0.096
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/13/2023,0:00,E11,0.095
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/13/2023,0:00,E6,0.094
BL21,Δ7,JOE7060,0 ng/mL,-,4/13/2023,0:00,H7,0.099
BL21,Δ7,JOE7060,0 ng/mL,+,4/13/2023,0:00,H2,0.095
BL21,Δ7,JOE7061,0 ng/mL,-,4/13/2023,0:00,H8,0.098
BL21,Δ7,JOE7061,0 ng/mL,+,4/13/2023,0:00,H3,0.097
BL21,Δ7,JOE7199,0 ng/mL,-,4/13/2023,0:00,H9,0.095
BL21,Δ7,JOE7199,0 ng/mL,+,4/13/2023,0:00,H4,0.093
BL21,Δ7,JOE7200,0 ng/mL,-,4/13/2023,0:00,H10,0.097
BL21,Δ7,JOE7200,0 ng/mL,+,4/13/2023,0:00,H5,0.096
BL21,Δ7,JOE7201,0 ng/mL,-,4/13/2023,0:00,H11,0.096
BL21,Δ7,JOE7201,0 ng/mL,+,4/13/2023,0:00,H6,0.096
BL21,Δ7,JOE7060,5 ng/mL,-,4/26/2023,0:00,C7,0.097
BL21,Δ7,JOE7060,5 ng/mL,+,4/26/2023,0:00,C2,0.098
BL21,Δ7,JOE7061,5 ng/mL,-,4/26/2023,0:00,C8,0.099
BL21,Δ7,JOE7061,5 ng/mL,+,4/26/2023,0:00,C3,0.098
BL21,Δ7,JOE7199,5 ng/mL,-,4/26/2023,0:00,C9,0.096
BL21,Δ7,JOE7199,5 ng/mL,+,4/26/2023,0:00,C4,0.098
BL21,Δ7,JOE7200,5 ng/mL,-,4/26/2023,0:00,C10,0.098
BL21,Δ7,JOE7200,5 ng/mL,+,4/26/2023,0:00,C5,0.097
BL21,Δ7,JOE7201,5 ng/mL,-,4/26/2023,0:00,C11,0.097
BL21,Δ7,JOE7201,5 ng/mL,+,4/26/2023,0:00,C6,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/26/2023,0:00,D7,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/26/2023,0:00,D2,0.1
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/26/2023,0:00,D8,0.1
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/26/2023,0:00,D3,0.098
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/26/2023,0:00,D9,0.098
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/26/2023,0:00,D4,0.097
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/26/2023,0:00,D10,0.098
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/26/2023,0:00,D5,0.098
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/26/2023,0:00,D11,0.096
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/26/2023,0:00,D6,0.095
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/26/2023,0:00,E7,0.097
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/26/2023,0:00,E2,0.099
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/26/2023,0:00,E8,0.098
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/26/2023,0:00,E3,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/26/2023,0:00,E9,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/26/2023,0:00,E4,0.097
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/26/2023,0:00,E10,0.1
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/26/2023,0:00,E5,0.097
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/26/2023,0:00,E11,0.099
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/26/2023,0:00,E6,0.095
BL21,Δ7,JOE7060,0 ng/mL,-,4/26/2023,0:00,H7,0.099
BL21,Δ7,JOE7060,0 ng/mL,+,4/26/2023,0:00,H2,0.101
BL21,Δ7,JOE7061,0 ng/mL,-,4/26/2023,0:00,H8,0.1
BL21,Δ7,JOE7061,0 ng/mL,+,4/26/2023,0:00,H3,0.099
BL21,Δ7,JOE7199,0 ng/mL,-,4/26/2023,0:00,H9,0.097
BL21,Δ7,JOE7199,0 ng/mL,+,4/26/2023,0:00,H4,0.098
BL21,Δ7,JOE7200,0 ng/mL,-,4/26/2023,0:00,H10,0.099
BL21,Δ7,JOE7200,0 ng/mL,+,4/26/2023,0:00,H5,0.097
BL21,Δ7,JOE7201,0 ng/mL,-,4/26/2023,0:00,H11,0.095
BL21,Δ7,JOE7201,0 ng/mL,+,4/26/2023,0:00,H6,0.098
BL21,Δ7,JOE7060,5 ng/mL,-,4/11/2023,0:29,C7,0.097
BL21,Δ7,JOE7060,5 ng/mL,+,4/11/2023,0:29,C2,0.1
BL21,Δ7,JOE7061,5 ng/mL,-,4/11/2023,0:29,C8,0.096
BL21,Δ7,JOE7061,5 ng/mL,+,4/11/2023,0:29,C3,0.098
BL21,Δ7,JOE7199,5 ng/mL,-,4/11/2023,0:29,C9,0.098
BL21,Δ7,JOE7199,5 ng/mL,+,4/11/2023,0:29,C4,0.098
BL21,Δ7,JOE7200,5 ng/mL,-,4/11/2023,0:29,C10,0.097
BL21,Δ7,JOE7200,5 ng/mL,+,4/11/2023,0:29,C5,0.1
BL21,Δ7,JOE7201,5 ng/mL,-,4/11/2023,0:29,C11,0.098
BL21,Δ7,JOE7201,5 ng/mL,+,4/11/2023,0:29,C6,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/11/2023,0:29,D7,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/11/2023,0:29,D2,0.1
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/11/2023,0:29,D8,0.099
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/11/2023,0:29,D3,0.098
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/11/2023,0:29,D9,0.098
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/11/2023,0:29,D4,0.099
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/11/2023,0:29,D10,0.099
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/11/2023,0:29,D5,0.098
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/11/2023,0:29,D11,0.098
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/11/2023,0:29,D6,0.096
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/11/2023,0:29,E7,0.097
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/11/2023,0:29,E2,0.099
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/11/2023,0:29,E8,0.098
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/11/2023,0:29,E3,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/11/2023,0:29,E9,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/11/2023,0:29,E4,0.098
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/11/2023,0:29,E10,0.098
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/11/2023,0:29,E5,0.097
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/11/2023,0:29,E11,0.099
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/11/2023,0:29,E6,0.097
BL21,Δ7,JOE7060,0 ng/mL,-,4/11/2023,0:29,H7,0.1
BL21,Δ7,JOE7060,0 ng/mL,+,4/11/2023,0:29,H2,0.097
BL21,Δ7,JOE7061,0 ng/mL,-,4/11/2023,0:29,H8,0.101
BL21,Δ7,JOE7061,0 ng/mL,+,4/11/2023,0:29,H3,0.097
BL21,Δ7,JOE7199,0 ng/mL,-,4/11/2023,0:29,H9,0.096
BL21,Δ7,JOE7199,0 ng/mL,+,4/11/2023,0:29,H4,0.101
BL21,Δ7,JOE7200,0 ng/mL,-,4/11/2023,0:29,H10,0.099
BL21,Δ7,JOE7200,0 ng/mL,+,4/11/2023,0:29,H5,0.097
BL21,Δ7,JOE7201,0 ng/mL,-,4/11/2023,0:29,H11,0.1
BL21,Δ7,JOE7201,0 ng/mL,+,4/11/2023,0:29,H6,0.1
BL21,Δ7,JOE7060,5 ng/mL,-,4/13/2023,0:29,C7,0.096
BL21,Δ7,JOE7060,5 ng/mL,+,4/13/2023,0:29,C2,0.097
BL21,Δ7,JOE7061,5 ng/mL,-,4/13/2023,0:29,C8,0.096
BL21,Δ7,JOE7061,5 ng/mL,+,4/13/2023,0:29,C3,0.098
BL21,Δ7,JOE7199,5 ng/mL,-,4/13/2023,0:29,C9,0.095
BL21,Δ7,JOE7199,5 ng/mL,+,4/13/2023,0:29,C4,0.095
BL21,Δ7,JOE7200,5 ng/mL,-,4/13/2023,0:29,C10,0.097
BL21,Δ7,JOE7200,5 ng/mL,+,4/13/2023,0:29,C5,0.097
BL21,Δ7,JOE7201,5 ng/mL,-,4/13/2023,0:29,C11,0.095
BL21,Δ7,JOE7201,5 ng/mL,+,4/13/2023,0:29,C6,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/13/2023,0:29,D7,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/13/2023,0:29,D2,0.098
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/13/2023,0:29,D8,0.096
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/13/2023,0:29,D3,0.115
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/13/2023,0:29,D9,0.096
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/13/2023,0:29,D4,0.097
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/13/2023,0:29,D10,0.098
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/13/2023,0:29,D5,0.099
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/13/2023,0:29,D11,0.095
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/13/2023,0:29,D6,0.095
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/13/2023,0:29,E7,0.096
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/13/2023,0:29,E2,0.097
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/13/2023,0:29,E8,0.097
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/13/2023,0:29,E3,0.099
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/13/2023,0:29,E9,0.097
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/13/2023,0:29,E4,0.097
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/13/2023,0:29,E10,0.098
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/13/2023,0:29,E5,0.097
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/13/2023,0:29,E11,0.095
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/13/2023,0:29,E6,0.094
BL21,Δ7,JOE7060,0 ng/mL,-,4/13/2023,0:29,H7,0.099
BL21,Δ7,JOE7060,0 ng/mL,+,4/13/2023,0:29,H2,0.095
BL21,Δ7,JOE7061,0 ng/mL,-,4/13/2023,0:29,H8,0.098
BL21,Δ7,JOE7061,0 ng/mL,+,4/13/2023,0:29,H3,0.097
BL21,Δ7,JOE7199,0 ng/mL,-,4/13/2023,0:29,H9,0.095
BL21,Δ7,JOE7199,0 ng/mL,+,4/13/2023,0:29,H4,0.094
BL21,Δ7,JOE7200,0 ng/mL,-,4/13/2023,0:29,H10,0.097
BL21,Δ7,JOE7200,0 ng/mL,+,4/13/2023,0:29,H5,0.096
BL21,Δ7,JOE7201,0 ng/mL,-,4/13/2023,0:29,H11,0.096
BL21,Δ7,JOE7201,0 ng/mL,+,4/13/2023,0:29,H6,0.096
BL21,Δ7,JOE7060,5 ng/mL,-,4/26/2023,0:29,C7,0.099
BL21,Δ7,JOE7060,5 ng/mL,+,4/26/2023,0:29,C2,0.099
BL21,Δ7,JOE7061,5 ng/mL,-,4/26/2023,0:29,C8,0.1
BL21,Δ7,JOE7061,5 ng/mL,+,4/26/2023,0:29,C3,0.1
BL21,Δ7,JOE7199,5 ng/mL,-,4/26/2023,0:29,C9,0.097
BL21,Δ7,JOE7199,5 ng/mL,+,4/26/2023,0:29,C4,0.1
BL21,Δ7,JOE7200,5 ng/mL,-,4/26/2023,0:29,C10,0.099
BL21,Δ7,JOE7200,5 ng/mL,+,4/26/2023,0:29,C5,0.099
BL21,Δ7,JOE7201,5 ng/mL,-,4/26/2023,0:29,C11,0.098
BL21,Δ7,JOE7201,5 ng/mL,+,4/26/2023,0:29,C6,0.098
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/26/2023,0:29,D7,0.099
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/26/2023,0:29,D2,0.101
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/26/2023,0:29,D8,0.102
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/26/2023,0:29,D3,0.099
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/26/2023,0:29,D9,0.099
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/26/2023,0:29,D4,0.098
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/26/2023,0:29,D10,0.1
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/26/2023,0:29,D5,0.1
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/26/2023,0:29,D11,0.097
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/26/2023,0:29,D6,0.096
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/26/2023,0:29,E7,0.098
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/26/2023,0:29,E2,0.1
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/26/2023,0:29,E8,0.1
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/26/2023,0:29,E3,0.1
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/26/2023,0:29,E9,0.1
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/26/2023,0:29,E4,0.098
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/26/2023,0:29,E10,0.101
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/26/2023,0:29,E5,0.098
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/26/2023,0:29,E11,0.1
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/26/2023,0:29,E6,0.096
BL21,Δ7,JOE7060,0 ng/mL,-,4/26/2023,0:29,H7,0.1
BL21,Δ7,JOE7060,0 ng/mL,+,4/26/2023,0:29,H2,0.102
BL21,Δ7,JOE7061,0 ng/mL,-,4/26/2023,0:29,H8,0.102
BL21,Δ7,JOE7061,0 ng/mL,+,4/26/2023,0:29,H3,0.101
BL21,Δ7,JOE7199,0 ng/mL,-,4/26/2023,0:29,H9,0.098
BL21,Δ7,JOE7199,0 ng/mL,+,4/26/2023,0:29,H4,0.1
BL21,Δ7,JOE7200,0 ng/mL,-,4/26/2023,0:29,H10,0.101
BL21,Δ7,JOE7200,0 ng/mL,+,4/26/2023,0:29,H5,0.099
BL21,Δ7,JOE7201,0 ng/mL,-,4/26/2023,0:29,H11,0.096
BL21,Δ7,JOE7201,0 ng/mL,+,4/26/2023,0:29,H6,0.099
BL21,Δ7,JOE7060,5 ng/mL,-,4/11/2023,0:59,C7,0.098
BL21,Δ7,JOE7060,5 ng/mL,+,4/11/2023,0:59,C2,0.101
BL21,Δ7,JOE7061,5 ng/mL,-,4/11/2023,0:59,C8,0.096
BL21,Δ7,JOE7061,5 ng/mL,+,4/11/2023,0:59,C3,0.098
BL21,Δ7,JOE7199,5 ng/mL,-,4/11/2023,0:59,C9,0.098
BL21,Δ7,JOE7199,5 ng/mL,+,4/11/2023,0:59,C4,0.098
BL21,Δ7,JOE7200,5 ng/mL,-,4/11/2023,0:59,C10,0.098
BL21,Δ7,JOE7200,5 ng/mL,+,4/11/2023,0:59,C5,0.099
BL21,Δ7,JOE7201,5 ng/mL,-,4/11/2023,0:59,C11,0.098
BL21,Δ7,JOE7201,5 ng/mL,+,4/11/2023,0:59,C6,0.096
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/11/2023,0:59,D7,0.098
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/11/2023,0:59,D2,0.101
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/11/2023,0:59,D8,0.099
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/11/2023,0:59,D3,0.099
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/11/2023,0:59,D9,0.099
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/11/2023,0:59,D4,0.101
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/11/2023,0:59,D10,0.099
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/11/2023,0:59,D5,0.098
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/11/2023,0:59,D11,0.099
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/11/2023,0:59,D6,0.096
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/11/2023,0:59,E7,0.097
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/11/2023,0:59,E2,0.1
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/11/2023,0:59,E8,0.099
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/11/2023,0:59,E3,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/11/2023,0:59,E9,0.098
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/11/2023,0:59,E4,0.099
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/11/2023,0:59,E10,0.099
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/11/2023,0:59,E5,0.097
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/11/2023,0:59,E11,0.099
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/11/2023,0:59,E6,0.097
BL21,Δ7,JOE7060,0 ng/mL,-,4/11/2023,0:59,H7,0.101
BL21,Δ7,JOE7060,0 ng/mL,+,4/11/2023,0:59,H2,0.098
BL21,Δ7,JOE7061,0 ng/mL,-,4/11/2023,0:59,H8,0.101
BL21,Δ7,JOE7061,0 ng/mL,+,4/11/2023,0:59,H3,0.097
BL21,Δ7,JOE7199,0 ng/mL,-,4/11/2023,0:59,H9,0.097
BL21,Δ7,JOE7199,0 ng/mL,+,4/11/2023,0:59,H4,0.102
BL21,Δ7,JOE7200,0 ng/mL,-,4/11/2023,0:59,H10,0.1
BL21,Δ7,JOE7200,0 ng/mL,+,4/11/2023,0:59,H5,0.098
BL21,Δ7,JOE7201,0 ng/mL,-,4/11/2023,0:59,H11,0.1
BL21,Δ7,JOE7201,0 ng/mL,+,4/11/2023,0:59,H6,0.1
BL21,Δ7,JOE7060,5 ng/mL,-,4/13/2023,0:59,C7,0.097
BL21,Δ7,JOE7060,5 ng/mL,+,4/13/2023,0:59,C2,0.099
BL21,Δ7,JOE7061,5 ng/mL,-,4/13/2023,0:59,C8,0.096
BL21,Δ7,JOE7061,5 ng/mL,+,4/13/2023,0:59,C3,0.098
BL21,Δ7,JOE7199,5 ng/mL,-,4/13/2023,0:59,C9,0.095
BL21,Δ7,JOE7199,5 ng/mL,+,4/13/2023,0:59,C4,0.095
BL21,Δ7,JOE7200,5 ng/mL,-,4/13/2023,0:59,C10,0.098
BL21,Δ7,JOE7200,5 ng/mL,+,4/13/2023,0:59,C5,0.098
BL21,Δ7,JOE7201,5 ng/mL,-,4/13/2023,0:59,C11,0.095
BL21,Δ7,JOE7201,5 ng/mL,+,4/13/2023,0:59,C6,0.095
BL21,Δ7,JOE7060,2.5 ng/mL,-,4/13/2023,0:59,D7,0.097
BL21,Δ7,JOE7060,2.5 ng/mL,+,4/13/2023,0:59,D2,0.098
BL21,Δ7,JOE7061,2.5 ng/mL,-,4/13/2023,0:59,D8,0.096
BL21,Δ7,JOE7061,2.5 ng/mL,+,4/13/2023,0:59,D3,0.099
BL21,Δ7,JOE7199,2.5 ng/mL,-,4/13/2023,0:59,D9,0.097
BL21,Δ7,JOE7199,2.5 ng/mL,+,4/13/2023,0:59,D4,0.097
BL21,Δ7,JOE7200,2.5 ng/mL,-,4/13/2023,0:59,D10,0.099
BL21,Δ7,JOE7200,2.5 ng/mL,+,4/13/2023,0:59,D5,0.099
BL21,Δ7,JOE7201,2.5 ng/mL,-,4/13/2023,0:59,D11,0.095
BL21,Δ7,JOE7201,2.5 ng/mL,+,4/13/2023,0:59,D6,0.095
BL21,Δ7,JOE7060,1.25 ng/mL,-,4/13/2023,0:59,E7,0.096
BL21,Δ7,JOE7060,1.25 ng/mL,+,4/13/2023,0:59,E2,0.097
BL21,Δ7,JOE7061,1.25 ng/mL,-,4/13/2023,0:59,E8,0.098
BL21,Δ7,JOE7061,1.25 ng/mL,+,4/13/2023,0:59,E3,0.099
BL21,Δ7,JOE7199,1.25 ng/mL,-,4/13/2023,0:59,E9,0.097
BL21,Δ7,JOE7199,1.25 ng/mL,+,4/13/2023,0:59,E4,0.097
BL21,Δ7,JOE7200,1.25 ng/mL,-,4/13/2023,0:59,E10,0.099
BL21,Δ7,JOE7200,1.25 ng/mL,+,4/13/2023,0:59,E5,0.097
BL21,Δ7,JOE7201,1.25 ng/mL,-,4/13/2023,0:59,E11,0.095
BL21,Δ7,JOE7201,1.25 ng/mL,+,4/13/2023,0:59,E6,0.094
BL21,Δ7,JOE7060,0 ng/mL,-,4/13/2023,0:59,H7,0.1
BL21,Δ7,JOE7060,0 ng/mL,+,4/13/2023,0:59,H2,0.096
BL21,Δ7,JOE7061,0 ng/mL,-,4/13/2023,0:59,H8,0.099
BL21,Δ7,JOE7061,0 ng/mL,+,4/13/2023,0:59,H3,0.097
BL21,Δ7,JOE7199,0 ng/mL,-,4/13/2023,0:59,H9,0.096
