Strain,Mutations,Number/ID,Tet Conc.,IPTG,Date Recorded,Time,Well Number,Well Reading
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,7:59,C11,0.112
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,8:29,C11,0.114
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,8:59,C11,0.116
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,9:29,C11,0.118
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,9:59,C11,0.12
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,10:29,C11,0.122
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,10:59,C11,0.125
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,11:29,C11,0.127
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,11:59,C11,0.13
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,12:29,C11,0.132
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,12:59,C11,0.135
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,13:29,C11,0.138
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,13:59,C11,0.141
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,14:29,C11,0.144
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,14:59,C11,0.148
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,15:29,C11,0.151
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,15:59,C11,0.154
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,16:29,C11,0.157
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,16:59,C11,0.161
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,17:29,C11,0.165
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,17:59,C11,0.169
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,18:29,C11,0.173
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,18:59,C11,0.177
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,19:29,C11,0.182
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,19:59,C11,0.186
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,20:29,C11,0.192
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,20:59,C11,0.198
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,21:29,C11,0.205
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,21:59,C11,0.211
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,22:29,C11,0.218
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,22:59,C11,0.224
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,23:29,C11,0.231
BW25113,ΔacrAB ΔmdtK,JOE7057,156 ng/mL,-,7/1/2022,23:59,C11,0.236
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,0:00,C2,0.097
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,0:29,C2,0.097
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,0:59,C2,0.098
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,1:29,C2,0.098
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,1:59,C2,0.099
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,2:29,C2,0.1
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,2:59,C2,0.1
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,3:29,C2,0.101
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,3:59,C2,0.102
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,4:29,C2,0.103
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,4:59,C2,0.104
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,5:29,C2,0.106
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,5:59,C2,0.107
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,6:29,C2,0.108
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,6:59,C2,0.11
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,7:29,C2,0.112
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,7:59,C2,0.114
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,8:29,C2,0.116
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,8:59,C2,0.118
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,9:29,C2,0.121
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,9:59,C2,0.123
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,10:29,C2,0.125
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,10:59,C2,0.129
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,11:29,C2,0.132
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,11:59,C2,0.135
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,12:29,C2,0.139
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,12:59,C2,0.142
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,13:29,C2,0.147
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,13:59,C2,0.151
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,14:29,C2,0.155
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,14:59,C2,0.16
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,15:29,C2,0.164
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,15:59,C2,0.169
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,16:29,C2,0.173
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,16:59,C2,0.181
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,17:29,C2,0.188
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,17:59,C2,0.195
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,18:29,C2,0.202
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,18:59,C2,0.211
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,19:29,C2,0.219
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,19:59,C2,0.231
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,20:29,C2,0.24
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,20:59,C2,0.253
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,21:29,C2,0.259
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,21:59,C2,0.268
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,22:29,C2,0.279
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,22:59,C2,0.288
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,23:29,C2,0.296
BW25113,ΔacrAB ΔmdtK,JOE7053 ,156 ng/mL,+,7/1/2022,23:59,C2,0.303
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,0:00,C3,0.097
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,0:29,C3,0.097
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,0:59,C3,0.097
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,1:29,C3,0.098
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,1:59,C3,0.098
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,2:29,C3,0.099
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,2:59,C3,0.1
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,3:29,C3,0.101
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,3:59,C3,0.102
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,4:29,C3,0.103
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,4:59,C3,0.104
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,5:29,C3,0.105
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,5:59,C3,0.106
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,6:29,C3,0.107
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,6:59,C3,0.109
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,7:29,C3,0.11
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,7:59,C3,0.112
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,8:29,C3,0.113
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,8:59,C3,0.115
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,9:29,C3,0.116
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,9:59,C3,0.118
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,10:29,C3,0.121
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,10:59,C3,0.123
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,11:29,C3,0.125
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,11:59,C3,0.127
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,12:29,C3,0.13
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,12:59,C3,0.133
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,13:29,C3,0.135
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,13:59,C3,0.139
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,14:29,C3,0.141
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,14:59,C3,0.144
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,15:29,C3,0.148
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,15:59,C3,0.153
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,16:29,C3,0.155
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,16:59,C3,0.16
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,17:29,C3,0.163
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,17:59,C3,0.169
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,18:29,C3,0.172
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,18:59,C3,0.178
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,19:29,C3,0.185
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,19:59,C3,0.192
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,20:29,C3,0.198
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,20:59,C3,0.205
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,21:29,C3,0.215
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,21:59,C3,0.225
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,22:29,C3,0.234
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,22:59,C3,0.244
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,23:29,C3,0.251
BW25113,ΔacrAB ΔmdtK,JOE7054,156 ng/mL,+,7/1/2022,23:59,C3,0.258
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,0:00,C4,0.097
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,0:29,C4,0.098
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,0:59,C4,0.099
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,1:29,C4,0.099
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,1:59,C4,0.1
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,2:29,C4,0.101
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,2:59,C4,0.102
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,3:29,C4,0.103
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,3:59,C4,0.105
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,4:29,C4,0.106
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,4:59,C4,0.107
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,5:29,C4,0.109
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,5:59,C4,0.11
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,6:29,C4,0.112
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,6:59,C4,0.113
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,7:29,C4,0.115
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,7:59,C4,0.117
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,8:29,C4,0.119
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,8:59,C4,0.121
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,9:29,C4,0.124
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,9:59,C4,0.126
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,10:29,C4,0.128
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,10:59,C4,0.131
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,11:29,C4,0.135
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,11:59,C4,0.137
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,12:29,C4,0.14
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,12:59,C4,0.144
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,13:29,C4,0.147
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,13:59,C4,0.151
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,14:29,C4,0.155
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,14:59,C4,0.159
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,15:29,C4,0.163
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,15:59,C4,0.169
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,16:29,C4,0.173
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,16:59,C4,0.181
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,17:29,C4,0.185
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,17:59,C4,0.191
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,18:29,C4,0.2
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,18:59,C4,0.208
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,19:29,C4,0.217
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,19:59,C4,0.228
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,20:29,C4,0.238
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,20:59,C4,0.246
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,21:29,C4,0.255
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,21:59,C4,0.262
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,22:29,C4,0.268
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,22:59,C4,0.273
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,23:29,C4,0.277
BW25113,ΔacrAB ΔmdtK,JOE7055,156 ng/mL,+,7/1/2022,23:59,C4,0.282
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,0:00,C5,0.097
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,0:29,C5,0.097
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,0:59,C5,0.099
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,1:29,C5,0.098
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,1:59,C5,0.099
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,2:29,C5,0.1
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,2:59,C5,0.101
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,3:29,C5,0.102
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,3:59,C5,0.102
BW25113,ΔacrAB ΔmdtK,JOE7056,156 ng/mL,+,7/1/2022,4:29,C5,0.103
